layer_position,layer_index,head_index,selection_frequency
0,3,0,1.0
0,3,3,1.0
0,3,4,1.0
0,3,11,1.0
0,3,15,1.0
1,7,2,1.0
1,7,4,1.0
1,7,5,1.0
1,7,6,1.0
1,7,10,1.0
1,7,11,1.0
2,11,0,1.0
2,11,6,1.0
2,11,8,1.0
2,11,10,1.0
2,11,14,1.0
3,15,4,1.0
3,15,6,1.0
3,15,7,1.0
3,15,10,1.0
3,15,11,1.0
3,15,13,1.0
3,15,14,1.0
3,15,15,1.0
4,19,0,1.0
4,19,2,1.0
4,19,3,1.0
4,19,4,1.0
4,19,5,1.0
4,19,8,1.0
4,19,9,1.0
4,19,10,1.0
4,19,14,1.0
4,19,15,1.0
5,23,0,1.0
5,23,3,1.0
5,23,8,1.0
5,23,9,1.0
5,23,10,1.0
5,23,11,1.0
5,23,13,1.0
6,27,0,1.0
6,27,1,1.0
6,27,7,1.0
6,27,12,1.0
6,27,13,1.0
6,27,14,1.0
7,31,0,1.0
7,31,2,1.0
7,31,4,1.0
7,31,6,1.0
7,31,8,1.0
7,31,9,1.0
7,31,12,1.0
7,31,13,1.0
7,31,14,1.0
0,3,13,0.8
1,7,7,0.8
1,7,13,0.8
2,11,4,0.8
2,11,7,0.8
2,11,9,0.8
2,11,13,0.8
3,15,1,0.8
3,15,2,0.8
4,19,7,0.8
4,19,12,0.8
5,23,12,0.8
5,23,14,0.8
6,27,2,0.8
6,27,3,0.8
6,27,8,0.8
6,27,11,0.8
7,31,3,0.8
0,3,1,0.6
0,3,7,0.6
0,3,10,0.6
1,7,0,0.6
1,7,8,0.6
2,11,2,0.6
2,11,12,0.6
3,15,8,0.6
3,15,12,0.6
4,19,13,0.6
5,23,4,0.6
6,27,15,0.6
7,31,1,0.6
7,31,5,0.6
7,31,10,0.6
7,31,11,0.6
7,31,15,0.6
0,3,2,0.4
0,3,8,0.4
1,7,14,0.4
2,11,3,0.4
2,11,5,0.4
2,11,15,0.4
3,15,0,0.4
3,15,9,0.4
4,19,1,0.4
4,19,6,0.4
5,23,1,0.4
5,23,7,0.4
6,27,6,0.4
7,31,7,0.4
0,3,9,0.2
0,3,12,0.2
1,7,1,0.2
1,7,3,0.2
1,7,9,0.2
2,11,1,0.2
2,11,11,0.2
4,19,11,0.2
5,23,5,0.2
5,23,15,0.2
6,27,5,0.2
6,27,9,0.2
0,3,5,0.0
0,3,6,0.0
0,3,14,0.0
1,7,12,0.0
1,7,15,0.0
3,15,3,0.0
3,15,5,0.0
5,23,2,0.0
5,23,6,0.0
6,27,4,0.0
6,27,10,0.0
