layer_position,layer_index,head_index,variance
7,31,6,2.4321381970891607
0,3,4,2.1800409068001616
0,3,7,2.1199273674388293
0,3,14,2.1073095227847016
0,3,5,2.0161004805437868
6,27,7,1.970087165227264
3,15,0,1.9626476864380173
1,7,11,1.9193966178767998
0,3,9,1.8839084219751254
4,19,14,1.8559167574434041
0,3,6,1.7899477962654682
6,27,9,1.7890558175606441
2,11,10,1.7686100211134859
0,3,10,1.7630637734820143
4,19,12,1.7526832961848289
2,11,15,1.7477356077843833
4,19,6,1.7410669096829632
0,3,15,1.7370387512708352
0,3,11,1.706771067490871
4,19,4,1.7012432500799024
3,15,9,1.6990396120469202
7,31,4,1.6975108629546334
6,27,10,1.6936943102075006
7,31,7,1.6873098221079534
6,27,3,1.681939783675525
5,23,13,1.6791258574262682
0,3,12,1.6650020430871166
5,23,1,1.655767200182051
4,19,5,1.650222724932643
7,31,5,1.6320053166841186
4,19,10,1.613923765234898
3,15,13,1.6137927039933784
6,27,0,1.6121787279143895
1,7,6,1.6109002220353998
2,11,9,1.5820854626566028
1,7,9,1.576476864564537
5,23,3,1.5755322361922022
7,31,3,1.5737958052407572
5,23,5,1.571998123958738
5,23,12,1.5667145302416365
7,31,1,1.5534796968816185
3,15,14,1.5527988287429826
6,27,13,1.5358982089595878
6,27,8,1.5256558274561551
3,15,4,1.5141123940721612
5,23,7,1.5000450022309721
3,15,8,1.4945861982886723
4,19,8,1.4897720108656678
5,23,8,1.4868057848188403
7,31,2,1.4699836279088045
0,3,8,1.452503169430106
1,7,8,1.4476991167824231
7,31,11,1.4464725148679936
1,7,5,1.4410260116909148
6,27,6,1.4381453729113132
5,23,2,1.4318282546642862
5,23,4,1.4310103511848675
6,27,2,1.4276835417481315
4,19,0,1.423903501989776
4,19,13,1.423777030138826
6,27,1,1.423590247417722
5,23,6,1.421983106439233
6,27,5,1.4195512043194223
7,31,0,1.4139158121135813
3,15,10,1.4124215528837547
1,7,4,1.3940214491390994
0,3,1,1.392520784590619
5,23,0,1.3921039030606934
1,7,0,1.3898287276087171
4,19,9,1.3871550252689673
0,3,2,1.3827520079408069
0,3,13,1.3790831947943125
6,27,11,1.3762339671058668
2,11,0,1.370898388544632
1,7,7,1.3528391721965924
6,27,4,1.3496950750104026
6,27,15,1.3357335033257427
2,11,8,1.3264168756046513
1,7,14,1.3219969001288137
5,23,10,1.317253504806472
1,7,12,1.2989976935182885
5,23,11,1.2974648594410831
6,27,12,1.2962367005804236
2,11,13,1.2836463749374583
2,11,4,1.278883812541747
3,15,15,1.2632148290913374
4,19,1,1.2582875099999036
2,11,6,1.2467404222739358
3,15,1,1.2445663422252653
3,15,6,1.2445143912628855
2,11,5,1.240576981437338
0,3,0,1.2395875416143103
2,11,11,1.2256304241157197
4,19,15,1.2216798299948635
3,15,11,1.2210579371852908
1,7,15,1.2062155065320623
3,15,12,1.2007779023777791
1,7,10,1.198392678155581
5,23,14,1.1957209726379927
2,11,7,1.1789972237836537
4,19,11,1.1576658539730744
4,19,2,1.1492357545281695
3,15,3,1.1487195090922133
5,23,15,1.126812896002653
6,27,14,1.1223321274584421
2,11,14,1.1222948930480565
2,11,2,1.1210274807269522
3,15,2,1.1058185866828623
4,19,7,1.0991054547048686
1,7,3,1.0918341412956303
5,23,9,1.0716589057171846
4,19,3,1.066825458189399
3,15,5,1.0611742796943935
2,11,1,1.0481044929567862
1,7,13,1.042465110163728
7,31,13,1.0255863375579184
7,31,15,1.004729707343202
3,15,7,0.983001086705927
2,11,3,0.9810048087371173
0,3,3,0.9733101582947101
2,11,12,0.9350363565858841
1,7,1,0.8901197715611502
7,31,8,0.820321620953692
7,31,14,0.7525801543218307
1,7,2,0.7166531178003426
7,31,10,0.6437363145911449
7,31,12,0.11282910590960628
7,31,9,0.08371621220071933
