task_class,n,within_class_rho,p_value,ci_lo,ci_hi,weighted_mean_within_class_rho,pooled_partial_rho,flag
factual_recall,150,0.017655895817591895,0.8301981431929579,-0.1402801087578236,0.182032610047392,-0.022509748536326098,-0.30694034938053105,True
domain_knowledge,120,-0.08712410584068336,0.3440425479479483,-0.24989372638810745,0.09150434376133795,-0.022509748536326098,-0.30694034938053105,True
code_comprehension,100,0.11876387638763876,0.23924431930997941,-0.08687012512903777,0.30854459374849713,-0.022509748536326098,-0.30694034938053105,True
structural_copying,100,0.25018901890189016,0.01205612950264359,0.05678564951682273,0.41057067937520875,-0.022509748536326098,-0.30694034938053105,True
syntactic_pattern,100,0.08496849684968495,0.40061477736193885,-0.13639912758849015,0.3145736973636094,-0.022509748536326098,-0.30694034938053105,True
reasoning_numerical,90,-0.3621928633164588,0.00045160521772921085,-0.5583841716592749,-0.12681104314637404,-0.022509748536326098,-0.30694034938053105,False
reasoning_tracking,90,-0.3861135119562086,0.00017083327053541808,-0.5488978584196103,-0.20055419461007476,-0.022509748536326098,-0.30694034938053105,False
algorithmic,80,-0.10213314580403188,0.3673279656504468,-0.3258848939031497,0.1242705945354324,-0.022509748536326098,-0.30694034938053105,True
factual_retrieval,80,0.24010782934833566,0.03193051314700699,0.01746275680941566,0.4603272153043781,-0.022509748536326098,-0.30694034938053105,True
cultural_memorized,80,0.09664791373652133,0.393748557277113,-0.14884508460160983,0.31750996991789465,-0.022509748536326098,-0.30694034938053105,True
long_range_retrieval,80,-0.16366619784341305,0.14688087840765862,-0.35896626633186274,0.04895326672111623,-0.022509748536326098,-0.30694034938053105,False
