sweep,group,family,baseline_mean_rank,baseline_mean_entropy,best_const_name,best_const_rank,best_const_ent_delta,worst_const_name,worst_const_rank,worst_const_ent_delta,best_shaped_name,best_shaped_rank,best_shaped_ent_delta,worst_shaped_name,worst_shaped_rank,worst_shaped_ent_delta,oracle_mean_rank,collapse_filtered,collapse_excluded_profiles
Qwen 2B attn-contr,Hybrid attention-contribution,qwen_hybrid,252.81682242990655,4.295644859813084,constant_1.15,247.7607476635514,-0.36,constant_3,994.6018691588785,-2.22,plateau_bal_0.40,248.31308411214954,0.91,early_boost_bal_0.60,328.3766355140187,2.05,154.87102803738318,False,
Qwen 9B attn-contr,Hybrid attention-contribution,qwen_hybrid,109.22710280373832,3.7208037383177572,constant_1.05,108.71682242990654,-0.09,constant_3,410.9280373831776,-0.43,spike_p3_bal_0.18,105.75420560747664,0.4,late_boost_bal_0.60,129.40747663551403,-0.59,60.93644859813084,False,
Qwen 35B attn-contr,Hybrid attention-contribution,qwen_hybrid,109.53831775700935,3.6254485981308413,constant_1.15,103.29906542056075,-0.33,constant_3,3978.5383177570093,-1.3,edges_bal_0.25,103.90654205607477,-0.46,spike_p6_bal_0.18,143.29345794392523,-1.37,53.41588785046729,False,
Olmo attn-contr,Hybrid attention-contribution,olmo_hybrid,170.28130841121495,4.451570093457944,constant_0.55,159.8626168224299,0.29,constant_3,477.78317757009347,1.65,edges_bal_0.70,141.98878504672896,0.28,early_boost_bal_0.60,220.95420560747664,0.62,83.93177570093458,False,
Qwen 2B block-out,Hybrid block-output,qwen_hybrid,252.81682242990655,4.295644859813084,constant_0.85,248.5158878504673,0.38,constant_3,81400.338317757,9.99,triad_even_bal_0.45,223.77943925233646,0.98,late_boost_bal_0.60,30356.416822429906,2.62,85.67570093457944,False,
Qwen 9B block-out,Hybrid block-output,qwen_hybrid,109.22710280373832,3.7208037383177572,constant_1.05,108.92990654205607,-0.13,constant_0.4,50311.64579439252,3.19,quarter_wave_bal_0.45,89.42710280373832,0.62,late_boost_bal_0.60,17132.304672897197,2.13,36.396261682242994,False,
Qwen 35B block-out,Hybrid block-output,qwen_hybrid,109.53831775700935,3.6254485981308413,constant_0.95,107.49252336448598,0.08,constant_2,93503.57289719627,11.39,middle_bump_bal_0.35,88.00654205607476,0.05,late_boost_bal_0.60,29635.366355140188,3.37,30.761682242990656,False,
Olmo block-out,Hybrid block-output,olmo_hybrid,170.28130841121495,4.451570093457944,constant_1.05,168.36728971962617,-0.1,constant_1.6,843.458878504673,0.62,edges_asym_early_bal_0.45,156.9570093457944,0.4,edges_bal_0.70,376.1429906542056,1.94,53.728971962616825,True,"constant_0.4,constant_0.55,constant_1.8,constant_2,constant_2.3,constant_2.6,constant_3,early_boost_bal_0.60,late_boost_bal_0.60"
Qwen3-8B all-layer,Pure-transformer all-layer,pure,111.05140186915888,3.876177570093458,constant_1.05,110.45046728971963,-0.14,constant_3,6516.254205607476,0.32,middle_valley_bal_0.20,108.46635514018692,-0.09,late_boost_bal_0.60,315.2897196261682,0.37,47.626168224299064,False,
Qwen3-30B all-layer,Pure-transformer all-layer,pure,137.62990654205606,3.7347663551401866,constant_0.95,133.34953271028039,0.21,constant_3,5553.269158878505,1.24,late_boost_bal_0.30,112.37943925233645,-0.5,early_boost_bal_0.60,510.9018691588785,3.46,49.722429906542054,False,
Olmo-3 all-layer,Pure-transformer all-layer,pure,164.85233644859812,4.334289719626168,constant_0.85,157.27289719626168,0.16,constant_3,9429.02523364486,4.96,ramp_up_bal_0.20,154.25607476635514,-0.05,late_boost_bal_0.60,299.8018691588785,0.99,63.35514018691589,False,
Qwen3-8B mimic,Pure-transformer mimic,pure,111.05140186915888,3.876177570093458,constant_1.3,109.91588785046729,-0.1,constant_3,207.5626168224299,0.54,edges_narrow_bal_0.70,101.47383177570093,0.12,tent_bal_0.55,133.20654205607477,0.07,63.87570093457944,False,
Qwen3-30B mimic,Pure-transformer mimic,pure,137.62990654205606,3.7347663551401866,constant_1.3,130.5056074766355,-0.7,constant_3,209.76168224299064,-0.48,mid_late_high_bal_0.50,121.1214953271028,-0.55,early_boost_bal_0.60,162.5411214953271,2.75,73.86822429906542,False,
Olmo-3 mimic,Pure-transformer mimic,pure,164.85233644859812,4.334289719626168,constant_1.8,157.95981308411214,0.1,constant_3,236.86355140186916,0.78,edges_asym_late_bal_0.45,160.91682242990655,0.06,early_boost_bal_0.60,181.4822429906542,0.15,89.44766355140187,False,
