task_class,n,within_class_rho,p_value,weighted_mean_within_class_rho,pooled_partial_rho,flag
algorithmic,80,-0.23520862634786685,0.03570934847657888,0.03432703096725636,-0.30694034938053105,False
code_comprehension,100,0.013321332133213319,0.8953447278290103,0.03432703096725636,-0.30694034938053105,True
cultural_memorized,80,0.09646038443506799,0.3946713168111393,0.03432703096725636,-0.30694034938053105,True
domain_knowledge,120,-0.08708938120702825,0.3442356316331061,0.03432703096725636,-0.30694034938053105,True
factual_recall,150,0.20335303791279616,0.012565337413502431,0.03432703096725636,-0.30694034938053105,True
factual_retrieval,80,0.3327473042662916,0.0025632006394347836,0.03432703096725636,-0.30694034938053105,True
long_range_retrieval,80,-0.12405063291139241,0.27293828252931157,0.03432703096725636,-0.30694034938053105,False
reasoning_numerical,90,-0.3786393381899,0.00023334050303676826,0.03432703096725636,-0.30694034938053105,False
reasoning_tracking,90,-0.36543606206527557,0.0003975640603399018,0.03432703096725636,-0.30694034938053105,False
structural_copying,100,0.7581398139813981,6.677052186765649e-20,0.03432703096725636,-0.30694034938053105,True
syntactic_pattern,100,0.009024902490249025,0.9289895836233002,0.03432703096725636,-0.30694034938053105,True
